video_id,age,category,views,rate
-lYcsQ8l5nE,446.0,Comedy,658816,4.76
Q5bPMIxAe9k,454.0,Comedy,172581,4.56
mHJVMK4zO4Q,454.0,Comedy,202798,4.8
avsn755Anwc,475.0,Entertainment,149641,3.84
toUcTzZS43s,584.0,Comedy,134272,4.76
18jdBco-iZg,603.0,Entertainment,177205,4.86
Ifcg-wr95vQ,520.0,Comedy,434847,4.76
N3CajgOXDxc,516.0,Comedy,232737,4.73
PfiI4nAdnXU,522.0,Comedy,151476,4.8
C7KRgQF_j-o,539.0,Music,145504,4.71
xGRctKry3G8,329.0,Sports,268597,2.38
zQ5Grncdjlc,309.0,Music,121581,4.82
Sd5tUw1HD40,668.0,Music,232745,3.65
DGb5xTLxrVc,338.0,Comedy,114905,4.71
JjhO3VGfpFk,584.0,Music,231290,3.41
rI_t9DP2cTk,522.0,Music,302428,5.0
GvAwdXs0jjo,499.0,Entertainment,195801,4.05
BTbRxBeqfnQ,507.0,Entertainment,133505,4.31
XMnOa_6OzQ8,498.0,Entertainment,107845,4.26
II1vH797UYY,554.0,Entertainment,116411,4.51
Ew6F6nC0PME,554.0,Entertainment,210855,4.52
2LNbfJhfTjg,562.0,Entertainment,130327,4.62
2uYLLG5yNBI,607.0,Entertainment,181761,4.42
K6O7ZHFPsdA,606.0,Entertainment,107946,4.81
PxTx3ZhU1VI,535.0,Comedy,1829325,4.91
ke3IiqicQdI,625.0,Music,171893,4.87
NT_c8CaSWAI,625.0,Music,147865,4.88
NmscFwj22vg,498.0,Comedy,105649,4.89
OIownZWFwN8,589.0,Comedy,455247,4.72
rzaLcLq63Vw,701.0,Music,154444,4.91
b2ceRcdIWGs,729.0,Music,122316,4.5
DtftuSHnWVY,261.0,Music,134532,4.93
YD8FTzUkf5A,379.0,Sports,188439,4.49
DQfnTT9sUJA,476.0,Sports,163757,4.14
g7cmqWVpu-o,512.0,Music,147566,4.82
efDkGwl1TOk,715.0,Music,151051,4.79
Jyn8HJuSLsc,373.0,Comedy,721465,2.8
V5bo69BocxU,520.0,Comedy,110114,4.5
9nk7SGVS1lU,289.0,Entertainment,209348,4.43
M7NLOFUYM00,417.0,Comedy,175847,4.21
YsQotM6o1eE,346.0,Entertainment,168721,3.95
CCD7Fz2WrfU,227.0,Entertainment,153345,3.96
NWa1fq0rQmI,687.0,Comedy,196475,3.99
Nana0C1adrI,262.0,Comedy,176627,4.8
2cagZOlwpAg,436.0,Comedy,344581,4.7
beDMYacCPBA,452.0,Entertainment,127504,4.79
mmGwTUdK-iA,488.0,Comedy,132951,4.76
1PFQiU__LkY,225.0,Entertainment,341500,4.78
psNFhA7W_8Y,304.0,Music,105643,4.81
Kh8pr1CoiHs,532.0,Comedy,136955,4.59
Af_QtER9zCo,531.0,Comedy,212198,4.61
YXrNcR9Qr1o,475.0,Sports,101380,4.72
2tUn8vByrBA,373.0,Music,144008,4.39
1VFie_jDRMI,510.0,Entertainment,225453,4.88
LotBzUa9b0Q,430.0,Music,104138,4.54
hYLGviEhjng,579.0,Music,2449515,4.37
l-1GjitXxDk,460.0,Entertainment,102677,4.81
9_wU0qhEPR8,92.0,Comedy,227466,4.09
GjnHMx3KaBo,348.0,Entertainment,166768,4.85
ePJCgvtUJCI,410.0,Entertainment,190084,4.88
XgjIZR7vjvU,680.0,Music,452262,4.82
FmMqL-eu9Ts,513.0,Comedy,198133,4.94
gD0S0WSOStw,421.0,Music,163819,4.84
v5i2qzFG5eA,530.0,Music,243715,4.78
D13_Vkcdtww,509.0,Music,160918,4.69
SsAuPKNtAKo,586.0,Music,177661,4.78
sxRblt_krPY,446.0,Music,126243,4.84
S4bhx3uiEFM,345.0,Entertainment,232862,4.74
TUlaybbhfuI,429.0,Sports,185625,4.42
HrpwRhe2nLI,498.0,Sports,118948,4.16
RaKjk43BJxc,293.0,Sports,212215,4.56
ORFAmbs-LhA,461.0,Sports,161987,4.4
EZuLP5OLQI4,499.0,Comedy,747470,4.83
K31GWBkKaZ0,526.0,Comedy,164948,4.87
zitU5rYU-l0,489.0,Comedy,105989,4.82
QTsXlTKaFq0,734.0,Comedy,106294,4.6
jU2YPXghFkU,513.0,Sports,103209,4.94
dKDDJH_aU9s,508.0,Sports,107430,4.85
JL6AMGg92Mo,454.0,Entertainment,102147,4.88
P0AZIFmkogY,420.0,Music,135839,4.93
4vEOS8otqrw,548.0,Entertainment,102599,4.29
StoQRYT0QU4,571.0,Music,183029,4.63
wvpKM3AIHV0,472.0,Music,179079,4.89
jJCbcBliDjo,529.0,Music,137759,4.82
sQaHSUJ0B90,683.0,Entertainment,361654,1.87
XrxFzk99Luw,607.0,Entertainment,208445,4.9
WsPLkKINVbc,393.0,Entertainment,413922,4.64
PtEuGsGznVA,470.0,Entertainment,109877,4.91
i2zfGPkzHjA,531.0,Comedy,101822,4.53
nqLtAl9oBBE,630.0,Comedy,111413,4.77
bT-zqsIAvaM,594.0,Music,147471,4.67
lrINA2iLD8M,728.0,Comedy,116729,4.54
DI_xh5BaMdw,609.0,Music,151398,4.77
HNm19RqlJME,503.0,Entertainment,377173,4.78
au7T0Kk9iQY,634.0,Entertainment,161445,2.0
5MgkifcPU9Q,529.0,Music,416378,4.61
1ibNytqBcrY,491.0,Entertainment,237812,4.67
N1ftKOQaGbU,508.0,Comedy,131648,4.89
2eDNlE61kwY,372.0,Sports,132615,4.87
FBmrGe4zGdY,316.0,Sports,206004,4.84
TXXqPysw9t4,269.0,Entertainment,119424,4.74
_ZBfnccgNB0,334.0,Music,126577,4.86
Zo52T7uKOJU,465.0,Music,106428,4.91
3e_Rbts5Q9Q,377.0,Entertainment,208906,4.76
RxiFQyjzlLI,593.0,Music,209572,4.9
TyithmmuEJk,475.0,Entertainment,103357,4.75
fnglkKAl4zM,574.0,Music,136499,4.78
L-qN9G7u2Iw,483.0,Entertainment,149582,4.36
sT7vK44Xjig,427.0,Music,135301,4.77
RGWs3o7SAxI,420.0,Music,206887,4.66
C0H7y1i2kpY,416.0,Music,375344,3.27
apcnAMvBWNA,484.0,Music,108707,3.7
K1x-Uu4YygA,322.0,Entertainment,152927,4.55
DWQ1REhWrXs,458.0,Entertainment,153525,3.59
nabdWhbDf3E,361.0,Entertainment,637753,4.84
PPgRxIXV2gc,702.0,Entertainment,164100,3.12
xy9kFEjmW3M,395.0,Entertainment,109053,4.85
_lr76Rj0etc,455.0,Sports,202294,4.75
UePFduiVI44,279.0,Music,125432,4.89
wGkZS94d5HU,435.0,Music,167538,4.81
ndWZ5ymRNgM,579.0,Music,218624,4.38
LrEYaV8zFBE,538.0,Music,598525,4.71
lyB6T0YWYFU,303.0,Entertainment,127307,4.81
_mLMVwhfK58,626.0,Music,104114,4.5
30VJrtbJycw,494.0,Entertainment,113461,4.46
4MBoTTHHzrg,497.0,Music,168532,4.71
MmzA19wFBHI,533.0,Entertainment,102568,4.74
_FYckpLDJTk,490.0,Entertainment,106206,4.55
kUYQVXPv27k,506.0,Entertainment,140340,4.91
GII7XJ1Oj8M,221.0,Comedy,327030,3.11
Sy_pQoIQM4g,548.0,Music,107175,4.73
nfntTC3YPtg,471.0,Music,131383,4.83
N6GSpKCU-Dg,470.0,Music,611020,3.8
G4g1AYt1UGQ,479.0,Music,498298,3.41
RQz_0Z0nE2Q,368.0,Music,259852,4.91
mYfMZEnEiaw,373.0,Comedy,335085,4.5
wxV-n9iSkEs,404.0,Sports,100967,4.7
3nIk6ezgA1o,654.0,Entertainment,126601,4.56
_DH-v2G-aZg,348.0,Entertainment,125614,4.66
OkITsv3Nk6M,672.0,Music,544636,4.22
ZfQi7gx9qjY,328.0,Music,134947,4.87
ULhZcNfIct8,369.0,Entertainment,113224,4.85
Ew1q-qSMZ5A,588.0,Comedy,303661,4.69
nvsdzqiuWfg,336.0,Entertainment,468914,4.44
jUspb0gFprI,554.0,Music,463270,4.8
dT4PenDwiPo,377.0,Sports,152500,4.6
_CI7c-rxFMU,422.0,Sports,231086,4.51
DQnkIgvOzhk,513.0,Music,125694,4.02
oJCrfMmdCwk,680.0,Entertainment,161461,3.47
cPNxTCp9mEQ,383.0,Comedy,130517,4.88
5HAUuwiqIXc,519.0,Entertainment,192241,4.33
QgiM-T1xRMM,474.0,Sports,100141,4.89
SJV4KqK0LpY,369.0,Entertainment,256513,4.67
jA9aHiUbFA8,470.0,Comedy,109706,3.38
RPa7ZR_fUC4,627.0,Music,154121,4.84
rwGM5EKemkU,635.0,Entertainment,345704,4.53
ClwO13kZmRo,267.0,Sports,501922,4.93
hFGcZ2BIbdI,305.0,Entertainment,182334,4.76
DuYTqdeubLo,241.0,Music,110680,4.82
sGYA8sI5yzc,340.0,Sports,161213,4.9
chqfe3lYdFw,301.0,Music,173465,4.86
HV8QPeM31fc,597.0,Entertainment,110678,4.54
lO042oArP-I,596.0,Entertainment,154698,4.19
N4P3BnlzPUk,511.0,Music,168025,4.22
HKXee5xGXEI,401.0,Comedy,163369,4.84
MC9HoPweCxU,308.0,Entertainment,218051,4.71
xVK9emHIDYM,221.0,Music,178419,4.86
ry37onyuMZ0,620.0,Music,268327,4.62
XVsKwXJH6xM,594.0,Entertainment,260256,4.12
lK4GcGG7ekQ,502.0,Music,134455,4.89
Mrlrp03QWBI,625.0,Music,199630,4.71
UrieSJwn3Uo,656.0,Comedy,199774,3.43
-FS8nG8SZEI,580.0,Music,106302,4.84
K_RYgV44vKA,604.0,Entertainment,250150,4.81
yiS3jh-wH3s,401.0,Music,303208,4.67
LYnb27C62nU,586.0,Music,127981,4.88
ZbWl79E5VSs,544.0,Music,104611,4.86
Ce_DxJFdgM4,730.0,Music,235128,4.86
mRAJBZT3I4w,383.0,Entertainment,117711,3.91
Vavao-7ybEc,536.0,Music,109191,4.9
h0UXCw7s_L8,367.0,Entertainment,375215,4.68
P9XYOUgYRKw,698.0,Entertainment,813007,3.61
F5udkAFMZHs,416.0,Entertainment,191391,4.62
kc60mVMxFMk,457.0,Music,124943,4.64
frvg9hfJYBo,316.0,Music,267838,4.88
EMm2h0Z5rKo,531.0,Music,107754,4.91
u2-od4n5Xl0,699.0,Comedy,276791,4.73
TP5NYlakfXc,611.0,Entertainment,120330,4.76
RUYbA0BdGB0,624.0,Comedy,245342,4.26
YBSAwLJmigs,468.0,Comedy,133665,4.82
pBAdiDtevBg,653.0,Entertainment,102095,4.0
pYXrDvDgLkk,698.0,Comedy,136359,4.46
Ff7NLH8lG3s,507.0,Entertainment,160913,4.82
MnqP8lBUwgs,603.0,Entertainment,210649,4.82
IKn4ULWhtfM,514.0,Entertainment,181562,4.78
Q5nmspVOz_Y,441.0,Entertainment,437707,4.86
y5kPY3NRz4s,505.0,Sports,119559,4.23
98gjIlR4LdI,374.0,Comedy,257822,4.49
gyIatKNfT1Q,702.0,Entertainment,274688,2.82
XZ4TD38LB8w,434.0,Comedy,173144,4.92
24vJYY6MM4A,495.0,Comedy,132216,4.97
Mrv0xjMa62g,589.0,Comedy,369615,4.19
ABAYxwpNowA,404.0,Music,149488,4.77
BV56CbqclLs,415.0,Music,103266,4.74
51TBYIKjw2w,701.0,Entertainment,492066,2.58
bbXDAPRYLiY,497.0,Music,111196,4.88
x-Us1WP4Uvs,360.0,Entertainment,131272,4.83
mdKPLDYKdWU,404.0,Comedy,144623,4.84
4M-dzGdkwF4,512.0,Music,166367,4.89
J5dvEUcIrHQ,378.0,Music,190570,4.88
2AbC_3MrKgA,270.0,Music,196408,4.74
MmeXni2Z6lk,519.0,Music,322617,4.84
YuGPSs9xaC0,327.0,Music,116387,4.89
gIFmYnP_RDQ,535.0,Music,100330,4.83
5ixlIra--vA,382.0,Sports,104103,4.55
Wr9o0mOeNHE,382.0,Sports,109001,4.28
Dt4zvJNXbdI,287.0,Music,116443,4.39
snV2_JF4Oes,452.0,Comedy,148974,4.38
QWLRphQIQt0,267.0,Music,129912,4.88
k3m48eNVBIE,348.0,Music,191867,4.89
JL9ThdmZkFs,504.0,Comedy,120290,3.81
yqcIYN94VMY,515.0,Comedy,173024,3.04
pZY0xH961QM,494.0,Sports,131322,4.48
OC0Jjc_ccgc,584.0,Music,298983,4.65
l4kWvbai_VE,579.0,Sports,170523,3.58
4vqwzAdCVEA,618.0,Music,196994,4.73
eqY5cGjHmic,486.0,Entertainment,266122,4.84
YtUV0zHT7DI,475.0,Entertainment,115141,4.68
SIJ7AEOpv8A,441.0,Entertainment,126131,4.93
yiRDgAesSnQ,491.0,Entertainment,238194,4.93
FxKKD9tDUMM,693.0,Music,153050,4.79
h5Yz_Vjwft4,565.0,Music,187341,4.41
1UwErJUZi08,584.0,Music,142917,4.86
nBdZdBi0APQ,584.0,Music,158528,4.86
a94t4kbXyrM,584.0,Music,125136,4.83
FS0XmqtsUoo,584.0,Music,158562,4.93
pAQ6pqic5fM,584.0,Music,212891,4.84
ICdzSlLHy1Y,586.0,Music,148093,4.7
VbpnrqVMOyE,586.0,Music,125174,4.69
u0HeF1FoqSw,586.0,Music,121526,4.79
a6ZZrgYeR9M,688.0,Comedy,2595500,4.16
3xElIik0Ys0,681.0,Music,2183325,4.25
rZDwCTxwePQ,324.0,Music,268292,4.9
Pcap5tdOf58,332.0,Music,118929,4.82
uY67cYJDc9s,500.0,Music,114647,4.86
MNzZzsvOClc,259.0,Comedy,115838,4.81
_mLLOLrhEQs,703.0,Entertainment,117328,4.32
HyzTzwTFgcs,609.0,Sports,233673,4.73
zabzImaHtTs,415.0,Sports,174102,4.43
uXAGM4z6ASA,643.0,Entertainment,1205770,3.59
Nmt7KJSURpw,534.0,Music,146286,4.82
8CXiqz7xPbo,600.0,Comedy,330041,4.89
B6bKbqSdNEc,386.0,Entertainment,352560,4.69
uk-u3TX2TEg,385.0,Entertainment,174998,4.41
4UtosDFNNP8,346.0,Entertainment,179775,4.82
nrnZSLwfzVs,284.0,Music,240223,4.88
CQJSZs-euZU,480.0,Comedy,395231,4.75
x2WyxZojo6U,499.0,Sports,207239,4.9
5qkcIy7bVLg,646.0,Sports,109389,4.84
8LOQtDXG7NE,667.0,Comedy,232187,4.77
neVw8g9v28c,667.0,Comedy,129367,4.84
iW2dJiaV--o,615.0,Comedy,100240,4.81
OCUTFIitQCo,660.0,Music,109674,4.75
L44FhnEHaV0,655.0,Comedy,236338,3.56
1WaF4WS-yaU,621.0,Comedy,285879,4.38
lu6rmH_MJFs,476.0,Entertainment,127595,4.72
TG6FZZY9ciA,599.0,Entertainment,316895,4.91
0gfZnWVoqZ8,662.0,Entertainment,333945,4.91
XbuWkOjUC4s,285.0,Sports,221074,4.65
zLTHpl4lvr0,619.0,Music,302892,4.93
fDfc27LOtLs,648.0,Music,160824,4.36
KKwykjd2BxY,673.0,Entertainment,119358,4.61
Z6TaHObROL8,499.0,Entertainment,153466,4.56
M9-049z1yK4,696.0,Music,147720,4.69
74zX6R2qbrs,451.0,Sports,106825,4.68
b3TDgFl7yuk,236.0,Sports,106255,4.7
ctcGhD4qNGA,607.0,Music,119027,4.81
aqN7gntG8qw,399.0,Music,250724,4.81
s2JqqqQmMM0,703.0,Comedy,150247,2.42
H9DMI5Pdfzk,265.0,Music,197255,4.75
gkw1h8xKuYE,371.0,Music,509953,4.67
caF5CzjRWTA,487.0,Music,578142,4.78
Sykk4fRIey0,600.0,Music,387081,4.71
kqrkSskzQOk,729.0,Sports,263702,4.63
Qvu9n246zDg,490.0,Entertainment,133435,2.73
E1NaqYkxY-s,396.0,Music,101321,4.88
-yZSySDiySc,476.0,Music,198965,4.9
RJC3POPngnY,558.0,Entertainment,369737,4.82
T7qqABK-3jA,447.0,Music,131142,4.62
05bOuWyuVIM,541.0,Music,203525,4.83
B7wTGtvPCg8,507.0,Entertainment,215168,4.79
9fVSLFYWTZk,519.0,Entertainment,180507,4.87
-HnSnJTLWTw,240.0,Comedy,274607,4.74
GLjIhHbXuFI,360.0,Entertainment,516669,4.8
CoQL9kH5554,428.0,Music,179276,4.89
tpm8k9aLCyo,382.0,Entertainment,310627,4.88
TL9LYq139sw,382.0,Entertainment,161754,4.84
RhRKksg2kL0,382.0,Entertainment,186739,4.82
it1kZ_GdSBM,382.0,Entertainment,180785,4.83
J2hrkaEcczo,574.0,Comedy,244923,4.35
t-pGP61IufA,492.0,Comedy,150644,4.54
1YdBvC9cbec,674.0,Entertainment,163734,4.2
cHBaqiF3eK8,605.0,Comedy,128452,4.22
A1NKm2PFzKg,358.0,Music,257160,3.77
qZavna9VLAA,721.0,Sports,277360,4.67
SZN1ZIHaSEQ,745.0,Music,159108,3.35
1l66lVMNvSM,744.0,Music,155152,2.36
ZgwWgl-jYKU,744.0,Music,126714,3.83
